frameNumber,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,occupiedHeights,predictedX,predictedY
79,251,387,62,369,1.2731481481481481,-572.289828313667,-66.53229612922871
80,193,387,-16,359,1.2893518518518519,-2264.5220446588496,-209.4684386754169
81,129,387,-42,355,1.3148148148148149,-324.8512859160053,479.3810825351999
82,79,392,-131,345,1.1527777777777777,-1737.2952069275384,293.02590108593927
83,7,387,-189,348,1.0069444444444444,-636.8089192887895,430.94420372513275
84,-152,387,-193,367,1.0740740740740742,109.9,457.3
85,-181,330,-230,324,1.2615740740740742,-556.7760955660654,-133.6563321984251
86,-200,339,-256,326,1.1782407407407407,-1071.1679913873245,-338.6118484382847
87,-202,342,-243,334,1.1412037037037037,-23.356865596901844,471.5435225674356
88,-234,356,-260,358,1.3726851851851851,-90.7,423.2
89,-232,370,-294,370,1.6041666666666667,-132.6,434.7
90,323,226,285,229,0.4583333333333333,13519.123296393267,-5419.847546186589
91,325,225,287,229,0.4583333333333333,-84.7,401.6
92,329,225,291,230,0.4583333333333333,-51.1,386.1
93,334,226,296,230,0.46296296296296297,-10.5,371.2
94,340,228,301,231,0.4652777777777778,38.8,352.5
95,345,230,307,231,0.4791666666666667,212.2707878538739,195.88408083714708
96,350,230,311,232,0.47685185185185186,294.6021008035104,188.37810927684066
97,356,230,315,232,0.4837962962962963,203.6,305.1
98,361,230,319,232,0.4861111111111111,262.3,281.6
99,365,231,322,233,0.49537037037037035,322.9,254.5
100,369,232,325,235,0.5115740740740741,327.2,256.0
101,374,234,329,237,0.5115740740740741,331.7,258.0
102,380,235,334,240,0.5138888888888888,336.4,260.1
103,386,234,340,240,0.5277777777777778,341.2,262.0
104,392,235,346,240,0.5347222222222222,346.1,263.9
105,397,234,350,240,0.5439814814814815,350.8,266.5
106,400,234,352,240,0.5393518518518519,498.4700681528158,248.761418835312
107,406,234,357,241,0.5509259259259259,451.32980968071735,270.4
108,412,234,362,241,0.5532407407407407,364.7,272.5
109,416,235,366,241,0.5486111111111112,443.43659787899867,255.21585053025032
110,421,238,370,242,0.5625,542.960495151434,253.21743810607077
111,425,241,375,244,0.5509259259259259,440.9691073499066,274.4
112,428,243,378,245,0.5555555555555556,383.8,274.4
113,433,244,380,245,0.5509259259259259,388.1,274.3
114,438,243,383,245,0.5694444444444444,406.41774197571647,272.0688940034691
115,441,242,385,245,0.5694444444444444,396.2,274.0
116,445,242,389,245,0.5787037037037037,400.3,274.4
117,448,243,392,245,0.5925925925925926,404.2,275.3
118,452,244,395,247,0.5949074074074074,407.8,276.2
119,457,247,399,249,0.6180555555555556,411.5,277.8
120,465,250,405,252,0.6296296296296297,415.5,279.8
121,473,251,412,253,0.625,419.7,282.0
122,482,251,418,253,0.6458333333333334,424.4,284.4
123,490,250,422,253,0.6805555555555556,429.4,287.5
124,496,250,426,253,0.6782407407407407,434.5,290.6
125,501,250,430,253,0.6921296296296297,439.7,293.9
126,506,252,434,255,0.7083333333333334,445.0,297.3
127,510,255,438,259,0.7106481481481481,450.4,300.2
128,514,257,440,262,0.7314814814814815,455.8,303.6
129,519,262,442,264,0.7662037037037037,461.0,307.1
130,523,262,444,264,0.7754629629629629,465.8,310.2
131,527,261,446,263,0.7939814814814815,470.2,313.5
132,531,262,448,264,0.8125,474.1,317.0
133,535,264,452,264,0.8287037037037037,477.8,320.1
134,539,266,455,265,0.8495370370370371,481.4,323.5
135,545,269,459,269,0.8726851851851852,485.1,327.3
136,554,276,465,275,0.9004629629629629,489.0,331.3
137,563,279,474,278,0.9212962962962963,493.4,336.1
138,574,280,484,279,0.9351851851851852,498.6,340.8
139,586,279,493,282,0.9513888888888888,504.5,345.1
140,598,277,500,283,0.9976851851851852,511.1,350.3
141,608,277,505,285,1.0439814814814814,518.1,355.8
142,614,278,510,285,1.0648148148148149,525.4,361.4
143,619,280,514,287,1.0949074074074074,532.7,367.3
144,624,283,518,290,1.1157407407407407,540.1,373.7
145,629,287,521,293,1.1574074074074074,547.4,380.4
146,634,292,524,299,1.1851851851851851,554.4,387.2
147,640,296,526,302,1.212962962962963,560.9,394.0
148,644,297,526,303,1.2337962962962963,566.5,400.8
149,647,297,528,302,1.2662037037037037,571.3,407.8
150,649,297,530,303,1.2939814814814814,575.3,414.2
151,654,299,533,303,1.3287037037037037,579.0,420.4
