frameNumber,windowSize,XYError,timeToFuture,time,fps,currentCenterX,currentCenterY,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,angleOfApproach,XFrameSpeed,YFrameSpeed,occupiedHeights,predictedX,predictedY
0,4,20,1,1657516187.3724532,0.0,394,265,420,232,369,229,64.4011572670119,1010.3673186398378,679.5617752273021,0.5347222222222222,394.0,265.0
1,4,20,1,1657516187.4738011,2.5643840574615173,395,266,421,233,369,229,65.06162762747307,2.039539099516848,2.039539099516848,0.5347222222222222,394.5,265.5
2,4,20,1,1657516187.5476167,9.867000404625909,395,266,421,234,370,230,63.57459233139294,0.0,0.0,0.5347222222222222,394.6666666666667,265.6666666666667
3,4,20,1,1657516187.6313934,13.547274753314708,394,266,420,235,369,230,61.180622906018705,-1.5434461100727765,0.0,0.5347222222222222,394.5,265.75
4,4,20,1,1657516187.7131784,11.936491312947338,394,266,420,235,369,230,58.72808299336154,-1.370459619625363,0.0,0.5347222222222222,394.4,265.8
5,4,20,1,1657516187.7949574,12.227186464197114,395,266,421,235,370,230,57.074049510469465,0.0,0.0,0.5300925925925926,394.6,266.0
6,4,20,1,1657516187.8787332,12.228077642956682,395,265,421,236,370,231,56.649125336671005,0.0,-1.1170179221244065,0.5277777777777778,394.6,265.8
7,4,20,1,1657516187.9595172,11.93662719384372,396,265,422,238,371,233,57.328060833502875,12.533442502442858,0.0,0.5254629629629629,394.8,265.6
8,4,20,1,1657516188.0353138,12.378676221029238,397,265,423,239,372,234,57.95854601377949,12.8548039585268,0.0,0.5231481481481481,395.4,265.4
9,4,20,1,1657516188.111112,13.193203193316432,398,265,424,239,372,236,58.0416444514332,12.965644870945438,0.0,0.5277777777777778,396.2,265.2
10,4,20,1,1657516188.1859126,13.192912704728533,398,265,424,239,372,236,57.52174447708855,9.798127417817563,0.0,0.5324074074074074,396.8,265.0
11,4,20,1,1657516188.260712,13.368896141979244,399,263,425,239,373,237,56.554945633997164,13.54990066064708,-27.09980132129416,0.5370370370370371,400.3099267299187,259.1801465401625
12,4,20,1,1657516188.3255389,13.369109205019587,399,261,425,239,373,237,55.41827883074984,7.2135248086679855,-28.854099234671942,0.5393518518518519,401.52496342435745,255.91999976240768
13,4,20,1,1657516188.3873723,15.425679651641756,400,261,427,239,374,237,54.590456224837595,9.927546471349128,-19.855092942698256,0.5416666666666666,402.8750817967326,253.6197630176573
14,4,20,1,1657516188.4621725,16.17249410059071,402,262,429,239,376,236,54.2877078414434,14.531591100825095,-10.89869332561882,0.5416666666666666,405.5254280815264,251.63200330406198
15,4,20,1,1657516188.5469468,13.368938754044018,403,261,429,238,377,236,54.22388470736425,11.936389404305212,-11.936389404305212,0.5439814814814815,408.15964006588365,249.19779131970472
16,4,20,1,1657516188.6257346,11.796033962465794,404,261,430,237,378,236,54.03966690949191,12.301905718622368,-6.150952859311184,0.5486111111111112,408.43400544252995,253.22549872625967
17,4,20,1,1657516188.7055218,12.692319796647098,404,262,430,233,379,234,53.48405588170694,8.252458932531102,0.0,0.5486111111111112,408.81896874809127,255.88564550401452
18,4,20,1,1657516188.8192182,12.533330145942651,407,265,432,232,382,232,52.741366851064775,14.043036745626518,8.42582204737591,0.5532407407407407,409.4688503757161,258.18588224876487
19,4,20,1,1657516188.8950171,8.795358132180835,408,266,434,232,383,231,52.07940910470183,13.368853530186112,13.368853530186112,0.5717592592592593,408.8185040909223,260.37364196236024
20,4,20,1,1657516188.970814,13.19278821353531,410,267,435,232,386,230,51.47532933920366,19.92048216041301,13.280321440275339,0.5694444444444444,408.58429210656504,263.2078539467175
21,4,20,1,1657516189.0486069,13.193161694163534,413,267,438,232,388,230,50.76986883437557,26.27058073150185,8.756860243833948,0.5648148148148148,408.4,265.4
