frameNumber,windowSize,XYError,timeToFuture,time,fps,currentCenterX,currentCenterY,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,angleOfApproach,XFrameSpeed,YFrameSpeed,occupiedHeights,predictedX,predictedY
0,4,10,1.5,1657504544.927886,0.0,584,166,567,142,602,135,7.684083452614619,1027.3025691439345,292.00723711968004,0.4050925925925926,584.0,166.0
1,4,10,1.5,1657504545.0595345,1.755999859329235,585,163,566,142,604,135,7.86893815639558,1.4283096053840032,-4.28492881615201,0.39814814814814814,584.516021311141,164.45193606657722
2,4,10,1.5,1657504545.1622605,7.595982425829539,588,165,568,141,608,135,7.612418707712443,3.736671366616262,2.4911142444108414,0.39814814814814814,586.1242916719157,164.63462404438482
3,4,10,1.5,1657504545.2692654,9.734635523042074,594,165,576,140,613,136,6.9579584787994,6.601671861613132,0.0,0.3958333333333333,590.0263087773799,164.7259680332886
4,4,10,1.5,1657504545.3555508,9.34536809481051,597,166,579,140,616,137,5.988679361703557,9.034861612399835,1.0038735124888707,0.39814814814814814,594.0148085231593,164.9807744266309
5,4,10,1.5,1657504545.4562812,11.58945253891193,602,165,585,140,619,138,4.8799281847606,12.763555512855987,0.0,0.3958333333333333,595.8777752834571,164.98397868885908
6,4,10,1.5,1657504545.5400553,9.927487727636368,606,166,590,140,623,139,3.7433590214717882,15.24586691911706,0.8469926066176144,0.39814814814814814,600.0168927313213,165.12912459045063
7,4,10,1.5,1657504545.6308136,11.936864992856615,609,166,592,141,627,140,2.654298993797566,33.420749003984064,0.0,0.3958333333333333,606.676784407698,165.2379840166443
8,4,10,1.5,1657504545.7155862,11.018273140899682,614,167,596,143,632,142,1.6773712936082272,45.83531790209886,5.729414737762357,0.3958333333333333,608.3030842693273,165.4337635703505
9,4,10,1.5,1657504545.7953742,11.796266192675258,619,167,602,144,636,142,0.9173268365486147,50.916720282756785,3.916670790981291,0.39351851851851855,614.0159588572308,165.59038721331544
10,4,10,1.5,1657504545.873165,12.533217791456874,622,168,605,145,640,143,0.37821160940911946,48.17636970444004,6.022046213055005,0.3912037037037037,624.5316954190878,165.79038721331546
11,4,10,1.5,1657504545.9798784,12.855000950110028,627,166,611,145,644,142,0.05444675780534796,47.746862072341386,-19.098744828936553,0.3888888888888889,635.8799073530624,163.23943352151886
12,4,10,1.5,1657504546.0686407,9.370882662442554,632,164,617,144,648,142,-0.15574803170833873,51.41931038879204,-20.567724155516817,0.3888888888888889,640.1458241137159,163.13943352151887
13,4,10,1.5,1657504546.1593988,11.266046371704235,633,160,616,147,651,142,-0.22444520455875014,38.56450857930002,-28.04691533040001,0.3912037037037037,643.2725881043386,162.63943352151887
14,4,10,1.5,1657504546.253148,11.018302085549838,638,161,621,146,655,141,-0.1486228577546531,42.217984624869466,-18.47036827338039,0.3888888888888889,646.0757073537109,162.13943352151887
15,4,10,1.5,1657504546.336923,10.666748047495886,642,160,627,145,658,140,0.07994217794973796,48.32203135980829,-12.080507839952073,0.39351851851851855,656.9816024230521,159.8331445270599
16,4,10,1.5,1657504546.422695,11.93676307783378,644,159,629,145,659,138,0.4280669543121524,35.80962680376284,-11.936542267920947,0.3958333333333333,663.7832206698242,157.50421853085228
17,4,10,1.5,1657504546.5154474,11.65881129883198,646,156,629,145,663,138,0.8591961191929225,30.499509618120225,-19.06219351132514,0.4027777777777778,666.0412576304013,154.63694379659563
18,4,10,1.5,1657504546.6042101,10.781385592958934,649,156,631,145,667,138,1.3038681677038944,31.42273641453702,-14.283062006607736,0.40046296296296297,670.0531638573011,152.97182809517022
19,4,10,1.5,1657504546.6919768,11.265985850044856,651,157,634,145,669,138,1.6748172573019529,23.049995740950894,11.524997870475447,0.3958333333333333,668.6099808424649,151.97182809517022
20,4,10,1.5,1657504546.7792547,11.39384983157666,651,159,633,146,669,137,2.02689879408674,11.49114938781325,17.236724081719878,0.39351851851851855,664.7942442806079,151.07182809517025
21,4,10,1.5,1657504546.863543,11.328149518575037,655,160,635,146,675,138,2.397264451704565,23.2256035321327,15.483735688088466,0.39814814814814814,660.4428280844052,153.33239457365136
22,4,10,1.5,1657504546.9528174,12.00616008198176,661,161,643,147,679,139,2.7886522757341337,34.62077494894411,14.42532289539338,0.3958333333333333,663.3428280844051,153.03239457365137
23,4,10,1.5,1657504547.051067,11.201418636698678,665,160,645,146,685,139,3.1263730388856414,40.71260334539384,-10.17815083634846,0.3958333333333333,672.6490113099717,151.50584876725972
24,4,10,1.5,1657504547.135839,10.17815083634846,669,159,652,144,687,139,3.3544859499644573,43.95053565417396,-10.98763391354349,0.38425925925925924,682.1927554918959,149.69491272177865
25,4,10,1.5,1657504547.2265952,11.796365722707062,671,159,653,144,690,139,3.4433381808397012,36.65955496043695,-7.331910992087389,0.3773148148148148,683.118086529846,150.35110431308044
26,4,10,1.5,1657504547.3223407,11.01853364822584,675,160,657,144,693,141,3.415911941928838,37.98925410831419,-2.713518150593871,0.3726851851851852,686.8166328989644,151.68822142659224
27,4,10,1.5,1657504547.4071155,10.444348159547394,678,160,660,145,697,142,3.310808902808363,35.81039114794408,0.0,0.37037037037037035,692.3238303514365,153.9554961608489
28,4,10,1.5,1657504547.4888947,11.795967612656826,681,162,663,146,699,142,3.173019513786826,36.24105380032575,12.08035126677525,0.37962962962962965,694.2805758083007,155.1206118622743
29,4,10,1.5,1657504547.5826457,12.22804199331209,683,161,665,146,702,142,3.0580793086999374,30.733186908200967,3.841648363525121,0.38657407407407407,702.0744870889093,155.52061186227428
30,4,10,1.5,1657504547.670411,10.666558160826,687,162,670,146,705,142,2.979196574283621,34.67477394620178,5.77912899103363,0.38425925925925924,710.8072692762746,155.8206118622743
31,4,10,1.5,1657504547.7521927,11.39400459095663,691,160,674,146,709,141,2.931344589896718,49.51514328719417,-24.757571643597085,0.38657407407407407,721.6709861109523,152.18875344493543
32,4,10,1.5,1657504547.8399584,12.227685508298423,693,158,675,145,712,141,2.899926796096514,35.388350702329944,-23.592233801553295,0.38657407407407407,730.0249843383277,148.45275462668516
33,4,10,1.5,1657504547.9252374,11.393973638744308,694,155,676,145,713,140,2.8789962369044053,27.577491379723305,-27.577491379723305,0.3888888888888889,730.8136181872932,145.48448335854476
34,4,10,1.5,1657504548.0149965,11.7262179677147,698,158,681,145,716,139,2.8777362429929414,32.015055019935964,-11.641838189067624,0.3888888888888889,731.9059327581094,145.30957985757476
35,4,10,1.5,1657504548.1109395,11.140930256031577,701,159,684,145,718,138,2.937979305431001,31.26857415497473,10.422858051658242,0.3819444444444444,729.6554457423234,146.35967726073196
36,4,10,1.5,1657504548.1997018,10.422858051658242,704,155,690,144,719,137,3.0751151847870433,32.66057731990874,-16.33028865995437,0.38657407407407407,731.9583868148977,143.80735342827
37,4,10,1.5,1657504548.2884645,11.266046371704235,707,154,693,142,721,136,3.258336979111526,33.031044095951614,-14.680464042645163,0.3773148148148148,734.4844806368632,141.0202730508263
38,4,10,1.5,1657504548.3682508,11.265985850044856,708,154,694,141,723,135,3.4452991664651833,28.38838231790518,-11.355352927162071,0.375,741.2478570480118,138.5949224863668
39,4,10,1.5,1657504548.4544876,12.533479955057254,713,156,699,141,728,135,3.606004002172772,59.35274256587903,23.741097026351614,0.3773148148148148,739.6539457674032,138.0949224863668
40,4,10,1.5,1657504548.541767,11.595988974379532,716,159,702,140,730,136,3.7210069184878396,46.10524898355133,28.81578061471958,0.3912037037037037,737.421163580038,137.79492248636683
41,4,10,1.5,1657504548.634762,11.457467848206383,719,159,704,140,735,137,3.761015248190254,41.585293065203615,18.902405938728915,0.38657407407407407,732.9574467453602,141.3267809037057
42,4,10,1.5,1657504548.7150578,10.75324701961287,722,159,707,140,738,138,3.706269804916713,40.36827364510447,14.417240587537313,0.3819444444444444,730.703448517985,144.86277972195595
43,4,10,1.5,1657504548.7998316,12.45395133393708,725,160,709,140,742,140,3.561626681795279,35.38830093906353,11.796100313021174,0.37962962962962965,729.8086314434529,149.35759679648797
44,4,10,1.5,1657504548.8831246,11.796100313021174,727,161,711,142,744,141,3.3723075697196365,29.927676456317606,11.971070582527043,0.3726851851851852,728.0725726907124,151.34343634293907
45,4,10,1.5,1657504548.9708898,12.00581641649206,732,161,715,144,750,143,3.181451741282676,39.24116786873405,7.8482335737468105,0.3680555555555556,737.0540726688457,151.54343634293906
46,4,10,1.5,1657504549.052672,11.394035543337118,737,161,719,144,755,144,3.002962509632739,44.42942934460219,5.923923912613626,0.36342592592592593,742.066284721679,154.58756905809682
47,4,10,1.5,1657504549.15041,12.227614213789908,740,160,722,145,759,146,2.8109627017729855,31.01126054520854,-10.337086848402846,0.3611111111111111,744.8450982833589,155.9080679652311
48,4,10,1.5,1657504549.232192,10.231432174716973,733,160,719,152,748,148,2.6474087302901994,-22.281623773842504,-5.570405943460626,0.35648148148148145,740.339357431201,158.13341852969057
49,4,10,1.5,1657504549.3169622,12.227614213789908,717,163,720,156,715,148,2.8321755325172044,-75.96064965735066,7.596064965735066,0.3333333333333333,729.8863517656478,159.9187190962459
50,4,10,1.5,1657504549.402737,11.79659796597966,713,167,709,162,718,159,3.359486906828178,-68.55869763171714,17.139674407929284,0.3148148148148148,719.5457095156617,163.22887965874241
51,4,10,1.5,1657504549.484516,11.65845482467722,712,166,706,160,718,160,3.873495629610832,-12.37926078089352,-12.37926078089352,0.30787037037037035,718.8457095156616,163.92887965874243
52,4,10,1.5,1657504549.566297,12.228077642956682,713,165,709,163,718,161,4.0381423352689625,0.0,-12.227917221192937,0.30324074074074076,717.9457095156616,164.52887965874243
53,4,10,1.5,1657504549.6720154,12.227756803638325,715,165,711,161,720,160,4.021347108218413,7.454870553440474,-7.454870553440474,0.30324074074074076,717.6584030162908,164.3161861581133
54,4,10,1.5,1657504549.7572968,9.45909362561032,718,164,723,159,713,158,4.015509950387425,14.101989601461067,-8.46119376087664,0.30092592592592593,718.1160597346154,163.8015921271185
55,4,10,1.5,1657504549.8480542,11.725890141349078,721,163,727,159,715,157,3.9971523023630113,33.79822989833331,-11.26607663277777,0.3055555555555556,714.4592719220113,162.89335473860876
56,4,10,1.5,1657504549.9318316,11.018388920412752,723,165,729,158,718,156,3.9994371041870416,28.64758241217837,5.729516482435674,0.30092592592592593,709.2694210029362,163.29335473860877
57,4,10,1.5,1657504550.0255828,11.936389404305212,727,167,724,158,730,156,4.088416281590888,33.67169930477878,11.223899768259592,0.30324074074074076,703.5696765920079,165.45993620891818
58,4,10,1.5,1657504550.1063728,10.666531034710761,728,169,722,158,735,157,4.1937191556562405,28.647054122889276,14.323527061444638,0.3055555555555556,706.012041033017,166.35993620891819
59,4,10,1.5,1657504550.1995044,12.377762956754747,730,170,722,160,738,158,4.250430660587831,21.475001408010815,10.737500704005408,0.2986111111111111,718.1650466985702,165.97463564236287
60,4,10,1.5,1657504550.2858188,10.623547409906488,731,171,725,163,737,158,4.300022348290314,16.718123007874834,11.145415338583222,0.29398148148148145,730.0056889485563,163.86447507986634
61,4,10,1.5,1657504550.373101,11.721204228717385,734,170,735,164,734,161,4.663422666757913,22.579459779551296,3.7632432965918827,0.2847222222222222,732.3714676184675,164.26447507986634
62,4,10,1.5,1657504550.4568737,11.457092283822469,737,168,741,166,734,161,5.357069131619797,25.677543199236517,-2.853060355470724,0.28935185185185186,737.0860778888518,164.30729616093475
63,4,10,1.5,1657504550.5326712,11.937068828123222,741,170,735,165,748,162,6.050830429398127,53.476266367472874,26.738133183736437,0.2777777777777778,738.9733843882227,165.51998966156387
64,4,10,1.5,1657504550.6164498,13.193037198271252,746,170,737,164,756,162,6.378162315759793,56.75366580819175,12.61192573515372,0.2800925925925926,740.415727669898,166.93458369255865
65,4,10,1.5,1657504550.7082014,11.936219560435182,751,170,741,164,762,163,6.396741724916749,55.70415455179316,7.95773636454188,0.2800925925925926,748.3928234225195,168.7428210810684
66,4,10,1.5,1657504550.7959685,10.898995411008382,754,169,745,164,763,163,6.29036748907161,50.281520282015315,2.9577364871773715,0.2847222222222222,756.2242303734315,169.1428210810684
67,4,10,1.5,1657504550.8827379,11.393787929001798,756,168,748,165,765,162,6.181563519678034,23.318205951437825,-11.659102975718913,0.2824074074074074,762.6039162914101,167.50297812207907
68,4,10,1.5,1657504550.968506,11.52480786509753,762,165,767,164,758,159,6.206074905321466,46.90880622721274,-23.45440311360637,0.2847222222222222,773.0193285571884,163.59527198918994
69,4,10,1.5,1657504551.644214,14.530961800960347,183,154,189,185,178,202,6.042729632736388,-673.9464562444405,-17.704372755983552,0.2337962962962963,718.3193285571884,161.99527198918992
70,4,10,1.5,1657504551.741466,7.957985489207978,180,176,183,183,178,202,5.298580601374233,-608.3715145744511,7.41916481188355,0.23842592592592593,612.7373484495349,163.11090589294182
71,4,10,1.5,1657504551.8317373,10.282551084198527,181,144,184,184,178,202,3.868678636300408,11.201628044237081,-358.4520974155866,0.24074074074074073,558.5269045990493,120.3401916713278
72,4,10,1.5,1657504551.9155142,11.077725982172334,181,163,185,184,178,201,2.2850264600192105,5.778750783601882,-75.12376018682447,0.25,501.18008771282337,112.71605659619959
73,4,10,1.5,1657504551.9958205,11.936457343206616,181,178,183,183,180,199,0.7550412501087965,3.947008151289131,7.894016302578262,0.24768518518518517,445.61124503380927,113.51605659619959
74,4,10,1.5,1657504552.082102,12.452324473249037,180,166,183,183,178,202,-0.7506683406978789,0.0,-29.443010073356497,0.24537037037037038,389.01124503380925,113.11605659619958
75,4,10,1.5,1657504552.1688704,11.589964934192892,183,177,194,185,172,199,-1.5970234106866241,34.973225825279954,128.23516135935984,0.24537037037037038,323.9094371156585,113.81605659619959
76,4,10,1.5,1657504552.26761,11.524934534653356,184,176,196,186,173,201,-1.6063602994792483,21.67935080374218,54.198377009355454,0.24305555555555555,259.3674036006728,114.51605659619959
77,4,10,1.5,1657504552.3653455,10.127646422500387,182,185,175,200,189,186,-0.6945578656422338,7.111147280276558,67.55589916262731,0.24768518518518517,198.4877176826941,117.95589955518892
78,4,10,1.5,1657504552.448124,10.231706722090493,180,187,173,201,187,186,0.5578715091913506,0.0,57.53048717163252,0.23842592592592593,133.2723054169158,123.66360568807806
79,4,10,1.5,1657504552.7443328,9.115178910995446,192,155,198,198,187,214,2.1871428004592963,40.648848414561066,-108.39692910549618,0.19444444444444445,137.6969127736339,114.36465273682981
80,4,10,1.5,1657504553.2006464,9.032907205127321,375,158,371,175,380,185,3.2435862005775378,259.4729258232084,-38.58828127627202,0.14351851851851852,246.39756608137242,106.19085717768067
81,4,10,1.5,1657504553.5736792,9.50292045222829,178,172,188,185,169,204,3.28483494819412,-1.7784769428526543,-13.338577071394907,0.22453703703703703,244.84223126194698,149.16157139929467
82,4,10,1.5,1657504553.6589634,8.532465366071973,180,176,188,185,172,204,2.4853250368480335,0.0,-9.084606101371058,0.22916666666666666,244.17443787778853,157.8428853933545
83,4,10,1.5,1657504553.7412536,11.725496773904974,180,176,187,181,174,204,1.454185498625734,0.0,0.0,0.22916666666666666,243.64328055680267,157.64288539335448
84,4,10,1.5,1657504553.822039,12.152119368390554,180,175,186,182,174,204,0.35268004356878124,0.0,-6.169936025019234,0.2337962962962963,243.64328055680267,158.54288539335448
85,4,10,1.5,1657504553.9147918,12.378493557393208,181,174,186,182,176,204,-0.8297875834819208,3.9241645148010926,-7.848329029602185,0.2337962962962963,243.8406213404947,158.24288539335447
