frameNumber,windowSize,XYError,timeToFuture,time,fps,currentCenterX,currentCenterY,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,angleOfApproach,XFrameSpeed,YFrameSpeed,occupiedHeights,predictedX,predictedY
12,4,10,1.5,1657504485.263422,8.854421401067352,686,184,695,140,677,137,2.096863816040788,105.32546048298636,19.15008372417934,0.7662037037037037,677.6054092605076,173.90986080566313
13,4,10,1.5,1657504485.3524616,10.315959309761329,679,199,681,130,678,129,1.1998929270071017,50.51893178390931,63.99064692628512,0.7592592592592593,687.7217230159365,174.30986080566313
14,4,10,1.5,1657504485.4413028,11.230962434966088,682,201,683,126,682,125,2.346395036218799,46.540748868806176,54.297540346940536,0.7754629629629629,696.4687626286569,174.70986080566314
15,4,10,1.5,1657504485.5241501,11.25603888070376,694,201,693,124,696,124,3.8340156186346945,146.60785067636058,0.0,0.7754629629629629,721.2521640920007,175.10986080566312
16,4,10,1.5,1657504485.617535,12.070391122545592,705,202,707,126,703,123,5.21784115363853,131.64903776607795,5.72387120722078,0.7777777777777778,735.8449538283078,175.70986080566314
17,4,10,1.5,1657504485.70808,10.708360034211164,718,191,719,127,717,124,6.7389892243385345,135.44990069664846,-37.62497241573568,0.7615740740740741,756.7597087181433,175.84507239507337
18,4,10,1.5,1657504485.7998354,11.044239585225911,733,201,735,128,732,126,8.938682973440434,143.04165945026028,0.0,0.75,776.9199978590264,176.24507239507338
19,4,10,1.5,1657504486.167375,7.427227652642017,703,197,724,172,682,173,11.498205414762028,-81.8480099860084,-10.913067998134453,0.4791666666666667,764.4878382487057,186.10138279993018
20,4,10,1.5,1657504486.2506564,7.035239061700646,706,198,686,172,727,171,14.672832039761996,-60.02327231867197,-6.6692524798524415,0.4699074074074074,760.9024348998519,190.73243856314966
21,4,10,1.5,1657504486.3404176,11.86527635546855,701,200,676,173,727,171,18.73547149198226,-59.30484985085165,-1.8532765578391142,0.46064814814814814,764.4024348998519,192.33243856314965
22,4,10,1.5,1657504486.4421432,11.26595558945901,695,203,674,172,716,171,23.37856991111025,-59.25354098749487,3.118607420394467,0.4675925925925926,763.6817112109287,194.31773980993506
23,4,10,1.5,1657504486.5398834,9.830369280095999,691,196,684,170,698,169,28.27224533227964,-41.34702266823736,-72.35728966941538,0.47453703703703703,764.8817112109288,194.01773980993508
24,4,10,1.5,1657504486.6386187,10.231207556006558,676,191,693,165,660,169,33.562783594104765,-97.19670887496311,-61.387395078924065,0.47453703703703703,764.2817112109287,193.01773980993508
25,4,10,1.5,1657504486.7343628,10.128086620980088,670,188,691,165,650,169,38.79628049584574,-85.84513464879318,-51.50708078927591,0.47453703703703703,744.9550700280098,191.71773980993507
26,4,10,1.5,1657504486.834097,10.44450420837691,664,187,683,163,645,169,43.65037207183568,-79.29268059161198,-40.92525449889651,0.4722222222222222,731.2933387768393,190.21773980993507
27,4,10,1.5,1657504486.9318383,10.026664116754121,656,188,678,160,635,167,48.18450545777153,-82.69323015501392,10.33665376937674,0.47453703703703703,700.7928188122316,195.7424635957787
28,4,10,1.5,1657504487.0425396,10.23108277209561,651,187,672,158,630,166,52.49447441399245,-62.667457394918195,0.0,0.4861111111111111,673.6219775191304,194.34246359577872
29,4,10,1.5,1657504487.1303043,8.95266148414721,644,188,666,156,622,165,56.18553098742438,-67.97805864911099,3.3989029324555498,0.49074074074074076,658.1902244962415,193.91905124692317
30,4,10,1.5,1657504487.2130845,11.525061206993671,638,159,662,158,615,165,58.89103174991184,-68.78523423470588,-74.07640609891402,0.4976851851851852,651.3902244962416,190.01905124692317
31,4,10,1.5,1657504487.293866,11.936559253008825,633,188,656,159,611,165,61.016048687841284,-62.66852337722103,363.477435587882,0.49537037037037035,642.3100540120101,202.04404005546522
32,4,10,1.5,1657504487.375648,12.533629767753194,627,190,650,162,604,165,63.21993068535581,-68.0830206164421,191.870330828155,0.4976851851851852,627.6777408044239,227.29911551702403
33,4,10,1.5,1657504487.4554343,12.227614213789908,624,196,642,163,606,166,65.84687782450904,-58.24705690966587,153.93865040411694,0.5,612.3105702602738,250.2052090979922
34,4,10,1.5,1657504487.5551677,12.533479955057254,614,199,632,166,597,167,68.66698134008467,-70.3635044435342,117.27250740589032,0.47685185185185186,596.5978762991022,266.85969903327833
35,4,10,1.5,1657504487.6359591,10.026736024785327,605,199,623,165,588,168,71.57356741755588,-112.79997131348385,0.0,0.49074074074074076,590.0978762991022,267.9596990332783
36,4,10,1.5,1657504487.706762,12.377543793380235,602,202,614,166,590,168,74.39861212124293,-79.68167634752295,19.920419086880738,0.47685185185185186,577.436141091153,271.07513283526566
37,4,10,1.5,1657504487.7825594,14.123709882176254,591,203,611,166,571,170,77.06458163908243,-101.59239823540996,17.668243171375646,0.48842592592592593,575.5394050733379,272.0708461053613
38,4,10,1.5,1657504487.8660135,13.193078696640947,582,203,603,165,562,170,79.60711497611196,-103.2765807809356,12.90957259761695,0.49537037037037035,561.1648847382195,274.6051611472511
39,4,10,1.5,1657504487.951482,11.982630159528272,577,203,598,163,556,167,82.06416295485431,-59.1925891846579,0.0,0.5,563.9966377611083,275.6285734961067
40,4,10,1.5,1657504488.0412416,11.70021284252164,568,202,590,163,547,166,84.42493315280463,-80.35307028947231,-5.739505020676594,0.5046296296296297,556.9966377611083,279.92857349610665
41,4,10,1.5,1657504488.1280105,11.140871071162003,562,201,585,162,540,166,86.67300514954634,-76.62837656993203,-7.662837656993203,0.5115740740740741,552.1768082453397,268.0035846875646
42,4,10,1.5,1657504488.2117856,11.524871199527388,554,200,576,159,533,165,88.80705214141,-81.21250628419136,-8.701339959020503,0.5208333333333334,554.3298451418489,242.3632079792204
43,4,10,1.5,1657504488.2980864,11.936729106546226,548,197,569,155,527,161,90.83802723784608,-70.33705340298333,-35.168526701491665,0.5254629629629629,545.2235332932607,214.4703732018831
44,4,10,1.5,1657504488.3863637,11.587371398892731,543,197,563,156,523,160,92.7823190384544,-63.37138124324391,-17.28310397543016,0.5300925925925926,546.6367870173164,198.1433086564744
45,4,10,1.5,1657504488.4762533,11.327935353884547,529,197,521,154,537,159,94.56885042629493,-94.88662842519521,-11.386395411023425,0.5115740740740741,525.5311267965556,196.3226294299831
46,4,10,1.5,1657504488.551067,11.12476659310813,527,197,547,155,508,157,96.22235062949512,-79.81774021891586,-8.86863780210176,0.5231481481481481,519.7888958644223,193.6845327235422
47,4,10,1.5,1657504488.626851,13.366510299816438,522,197,545,155,499,158,97.79089988467706,-66.85705359334602,0.0,0.5254629629629629,514.342930674184,192.8316571044532
48,4,10,1.5,1657504488.7016516,13.195403022075688,513,198,537,155,490,159,99.34066551721071,-93.59137152520437,6.685097966086026,0.5254629629629629,514.9174510093025,191.39734206256338
49,4,10,1.5,1657504488.772461,13.368896141979244,502,198,524,156,480,159,100.83113819477167,-113.4319187373568,4.537276749494272,0.5231481481481481,507.41745100930245,190.89734206256338
50,4,10,1.5,1657504488.8422759,14.122425891257794,491,198,508,164,475,163,102.2777539951501,-123.6226615294682,3.4339628202630057,0.5138888888888888,499.71745100930247,190.4973420625634
51,4,10,1.5,1657504488.9130862,14.323585759412618,485,195,502,165,469,164,103.69782267777718,-85.94503659332065,-42.972518296660326,0.5115740740740741,479.12980987117635,183.45352149350032
52,4,10,1.5,1657504488.9888828,14.12223569023569,475,190,486,165,464,163,105.0595637576686,-110.64028357101641,-55.320141785508206,0.5162037037037037,468.19676391215853,180.93699851399145
53,4,10,1.5,1657504489.0596938,13.193203193316432,464,186,481,165,447,163,106.35218824262247,-124.75731603601064,-55.44769601600473,0.5115740740740741,453.21821273788066,177.4783914583534
54,4,10,1.5,1657504489.133495,14.122093042831217,454,198,476,163,433,163,107.59000888213708,-127.48780525874342,0.0,0.5115740740740741,445.3176529749968,177.850966068476
55,4,10,1.5,1657504489.2023141,13.54990066064708,447,188,471,158,424,162,108.8009023528975,-103.21645831282606,-147.45208330403725,0.5231481481481481,444.3673984728224,169.6346242622029
56,4,10,1.5,1657504489.2741208,14.530861118039965,441,187,465,157,418,162,109.98900822132188,-93.10410231454209,-78.78039426615099,0.5277777777777778,426.5134756110191,157.34676570352246
57,4,10,1.5,1657504489.3449311,13.926283040982273,435,194,432,155,438,158,111.08363586070041,-90.28787015332395,-19.00797266385767,0.5324074074074074,412.0093496356918,155.82484444555882
58,4,10,1.5,1657504489.4187346,14.12223569023569,430,193,415,153,446,157,112.08842312053723,-84.42669225272495,-17.588894219317698,0.5370370370370371,396.96220376926556,153.91918905672003
