frameNumber,windowSize,XYError,timeToFuture,time,fps,currentCenterX,currentCenterY,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,angleOfApproach,XFrameSpeed,YFrameSpeed,occupiedHeights,predictedX,predictedY
0,4,10,1,1657586728.6153734,27.880429941703948,238,240,256,224,220,216,142.83053314349434,140.71145523884434,141.8939044425321,0.4675925925925926,253.71733011386505,255.84940851818325
1,4,10,1,1657586728.6595464,11.140811886921252,239,246,257,224,221,219,145.91001758265375,0.5758460919167173,3.455076551500304,0.4675925925925926,246.40852282421864,251.2238508628083
2,4,10,1,1657586728.704427,22.63826204290919,240,244,260,224,221,223,138.21873692778152,0.5616534715341737,-1.1233069430683473,0.4837962962962963,244.27234854947906,248.81590057520552
3,4,10,1,1657586728.7484267,22.281327858140806,242,244,262,224,223,225,122.75855574500146,1.0962183339290137,0.0,0.49074074074074076,243.7042614121093,247.61192543140413
4,4,10,1,1657586728.7922688,22.727442183063484,245,244,265,223,225,225,103.71939867942015,2.6748016236922547,0.0,0.4976851851851852,243.96340912968745,246.8895403451233
5,4,10,1,1657586728.8362293,22.809138220755138,248,244,269,223,227,225,86.81936476703864,4.183542881822233,0.0,0.5023148148148148,244.63617427473955,246.40795028760274
6,4,10,1,1657586728.8831005,22.74765706351961,251,248,273,223,229,225,73.63524100089518,5.614729497816652,2.0417198173878734,0.5023148148148148,245.54529223549102,246.63538596080235
7,4,10,1,1657586728.926944,21.335069585741028,254,254,276,223,233,225,63.51217747154302,70.01670441203474,140.03340882406948,0.5138888888888888,246.60213070605465,247.55596271570207
8,4,10,1,1657586728.969869,22.808394011735086,259,258,282,225,237,226,55.64513834936218,93.27152744961779,116.58940931202224,0.5138888888888888,247.97967173871524,248.7164113028463
9,4,10,1,1657586729.0147097,23.2965118862475,265,262,288,227,242,227,49.38752857340374,107.18856854963839,107.18856854963839,0.5185185185185185,249.68170456484373,250.04477017256167
10,4,10,1,1657586729.05904,22.301112316297665,271,264,295,228,247,228,44.360888554406415,113.67540084342443,90.94032067473955,0.5347222222222222,251.4099715534572,250.85982932074336
11,4,10,1,1657586729.1035554,22.557904644096055,278,263,302,228,254,227,40.29508965852337,160.85625999868512,-22.979465714097874,0.5393518518518519,269.05012799800596,250.53569600028487
12,4,10,1,1657586729.1494324,22.464150478547058,284,264,309,228,259,227,37.031291038256235,143.81747829917205,0.0,0.5439814814814815,273.450127998006,252.53569600028487
13,4,10,1,1657586729.1941338,21.797424410930144,289,264,315,228,264,227,34.43828287590093,134.23204608491574,0.0,0.5532407407407407,278.150127998006,254.53569600028487
14,4,10,1,1657586729.2398643,22.370695126699413,295,262,321,228,269,227,32.35209516010458,133.46250815386003,-11.121875679488335,0.5532407407407407,291.06282311426514,255.6763047405966
15,4,10,1,1657586729.2837474,21.8672005338672,300,262,327,228,273,227,30.64849093946075,116.59329845609861,0.0,0.5486111111111112,296.26282311426513,257.4763047405966
16,4,10,1,1657586729.3276808,22.78782346964832,304,261,332,228,277,228,29.21675481912108,102.48646183167766,-11.387384647964184,0.5625,307.5872976258173,258.1069186837575
17,4,10,1,1657586729.3716042,22.76173007000597,309,261,336,229,282,231,27.954948544136162,106.27004272862347,-7.59071733775882,0.5671296296296297,323.17687931715983,258.086234277233
18,4,10,1,1657586729.4274151,22.262169263023804,313,261,341,231,285,233,26.729638083322985,96.48695465472488,-5.360386369706938,0.5972222222222222,328.82868676909635,258.3722449743476
19,4,10,1,1657586729.4882524,18.243163658981086,317,259,345,231,289,234,25.444117938687736,66.84549275853139,-33.422746379265696,0.6087962962962963,340.3917940534434,254.89069133217407
20,4,10,1,1657586729.5381193,16.437292785202022,320,258,349,231,292,234,24.190879642385465,63.805143071978236,-27.3450613165621,0.6134259259259259,349.0453463935226,252.6820260435687
21,4,10,1,1657586729.587989,20.053376171966512,325,253,354,230,296,234,23.080908564616944,74.7319182296554,-49.82127881977027,0.6319444444444444,343.45305045149746,251.34110867262993
22,4,10,1,1657586729.635858,20.05222571222313,329,256,358,230,300,233,22.21887214833648,77.12873510640866,-24.102729720752706,0.6273148148148148,355.46679951795414,248.19306208936223
23,4,10,1,1657586729.6907141,20.890360947718115,332,266,362,230,303,233,21.560331655710968,54.6885776002573,182.29525866752434,0.6481481481481481,359.76679951795415,248.39306208936222
24,4,10,1,1657586729.7395802,18.229525866752432,337,281,367,232,307,233,21.11236498391606,77.129178332207,241.02868228814688,0.6759259259259259,356.054104401695,250.95245334905047
25,4,10,1,1657586729.783503,20.464112334662055,342,280,373,234,311,234,20.790288726053287,88.04903854227895,162.55207115497652,0.6666666666666666,360.254104401695,252.75245334905048
26,4,10,1,1657586729.8303378,22.767166415163985,348,284,380,236,317,236,20.561581575324233,97.696569969364,143.97389258643116,0.6805555555555556,358.6296298901428,255.72183940588963
27,4,10,1,1657586729.8752186,21.351686783174422,355,288,387,237,323,237,20.428799703414008,159.36497459724694,91.0656997698554,0.6967592592592593,353.1400481988003,259.1425238124141
28,4,10,1,1657586729.919101,22.2812094940609,361,289,394,237,328,237,20.416830544932523,148.12286444651505,56.97033247942887,0.7060185185185185,357.68824074686376,261.95651311529946
29,4,10,1,1657586729.9630227,22.788194897205198,367,288,402,236,333,237,20.551759114804092,143.1963501826526,30.146600038453176,0.7106481481481481,356.3251334625167,268.038066757473
30,4,10,1,1657586730.0099008,22.76778434597576,372,290,409,236,336,237,20.87806877419994,133.6577909610671,33.41444774026677,0.7222222222222222,357.7715811224375,272.8467320460784
31,4,10,1,1657586730.0559516,21.33192283631962,377,293,414,236,341,236,21.391817840362297,110.98038800630802,66.5882328037848,0.7384259259259259,359.5137490664566,279.1519534167323
32,4,10,1,1657586730.0991075,21.715155500100956,380,292,418,236,343,236,22.04902777438163,90.69378201229813,22.673445503074532,0.7430555555555556,357.1,285.1
33,4,10,1,1657586730.1439874,23.17179808738792,384,296,422,237,346,236,22.763880154334846,89.49439544807966,44.74719772403983,0.7615740740740741,362.3,288.1
34,4,10,1,1657586730.1868725,22.28168295792605,384,297,423,238,346,237,23.492435562065573,67.80746167515187,39.55435264383859,0.7754629629629629,367.0,289.7
35,4,10,1,1657586730.2327917,23.31814113291044,384,300,423,240,346,240,24.20851980854007,0.0,65.33217721795025,0.7870370370370371,371.2,291.7
36,4,10,1,1657586730.2866066,21.777392405983417,384,305,423,242,345,242,24.86165277011703,0.0,81.02410601527544,0.8055555555555556,374.8,293.8
37,4,10,1,1657586730.3307567,18.58221836289851,384,308,424,243,344,244,25.417270836461377,0.0,76.98436196413196,0.8217592592592593,377.7,295.8
38,4,10,1,1657586730.3746784,22.64999810993687,383,313,424,243,342,244,25.879356111641382,-5.324646604419111,85.19434567070577,0.8518518518518519,379.50917514610046,304.45319766239294
39,4,10,1,1657586730.4205172,22.76778434597576,382,316,424,244,341,245,26.30837307154489,-22.301468046981757,66.90440414094527,0.8680555555555556,380.15065782828395,309.8287496158425
40,4,10,1,1657586730.4654346,21.815564178048703,382,318,424,244,340,245,26.712877804782334,-11.141048627657229,55.70524313828614,0.8819444444444444,381.1402519624571,312.68077894497685
41,4,10,1,1657586730.5102806,22.263114593119848,382,321,425,245,340,245,27.066617908821033,-7.429372056320266,59.434976450562125,0.9004629629629629,381.37639376464375,317.5916445274839
42,4,10,1,1657586730.5561938,22.298503971334092,383,323,427,246,340,246,27.352092572240103,0.0,55.396750134387474,0.9120370370370371,381.67639376464376,320.69164452748385
43,4,10,1,1657586730.6010735,21.78021955196444,384,329,429,248,340,247,27.61002056373938,22.789309252527886,136.73585551516732,0.9305555555555556,381.67639376464376,323.99164452748386
44,4,10,1,1657586730.6469123,22.281801327036373,386,332,432,252,340,249,27.896645876298695,33.4371789591167,100.3115368773501,0.9444444444444444,381.87639376464375,327.49164452748386
45,4,10,1,1657586730.6917279,21.815564178048703,388,337,437,256,340,252,28.216325142180587,37.16470016977207,104.06116047536179,0.9652777777777778,382.2763937646438,331.19164452748385
46,4,10,1,1657586730.7374005,22.313688354524658,392,349,442,258,343,254,28.592482501618502,49.941901401462985,144.27660404867083,1.0185185185185186,383.07639376464374,335.5916445274839
47,4,10,1,1657586730.7832813,21.894939054628978,395,356,446,258,344,255,29.02394509481567,66.833332448094,155.94444237888598,1.0462962962962963,384.17639376464376,340.3916445274839
48,4,10,1,1657586730.830113,21.795612093245616,398,359,450,257,347,255,29.557569104818825,66.14108760614685,110.23514601024476,1.0625,386.0672186185433,338.7384468650909
49,4,10,1,1657586730.8751588,21.3530998951259,402,362,455,257,349,255,30.266457926336823,73.12079747146595,95.05703671290574,1.0810185185185186,388.9257359363598,340.76289491164135
50,4,10,1,1657586730.920039,22.199601981623406,405,364,460,257,351,255,31.191234521660018,71.57008035660375,82.58086194992741,1.1041666666666667,391.23614180218664,345.310865582507
51,4,10,1,1657586730.9649775,22.281564590073362,407,368,464,259,351,256,32.26848255174726,45.538040616466986,91.07608123293397,1.1273148148148149,394.00000000000006,347.9
