frameNumber,windowSize,XYError,timeToFuture,time,fps,currentCenterX,currentCenterY,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,angleOfApproach,XFrameSpeed,YFrameSpeed,occupiedHeights,predictedX,predictedY
0,4,10,1,1657495783.6900513,12.080612224324799,464,149,473,140,456,146,146.1741038586978,373.3868163265463,119.90223196692973,0.3101851851851852,497.5763732905924,159.78206814719454
1,4,10,1,1657495783.769837,6.72933014806983,462,146,473,140,452,142,156.00364707954765,-1.5123293321768734,-2.2684939982653103,0.3055555555555556,479.42911044435266,152.35241977218195
2,4,10,1,1657495784.2764835,8.718915390659754,450,154,461,136,439,139,160.5431752936119,-6.560568040821482,4.373712027214321,0.3333333333333333,469.6194069629018,152.90161318145462
3,4,10,1,1657495784.3602598,8.021327458337636,450,151,461,138,439,139,163.83370272052846,0.0,-1.5683098243089348,0.32407407407407407,464.71455522217633,152.426209886091
4,4,10,1,1657495784.450019,11.936559253008825,449,150,461,138,437,140,166.19662791600206,-0.49933950053478077,-1.997358002139123,0.32175925925925924,461.4764693072004,151.56026842671025
5,4,10,1,1657495784.5367863,11.140930256031577,445,150,458,138,433,141,168.02632809828685,-2.3930150477444356,-1.9144120381955487,0.3194444444444444,458.7109042062453,151.28463418245454
6,4,10,1,1657495784.6195667,11.525061206993671,443,149,457,138,430,141,169.41118095300018,-3.2225482562423977,-2.301820183030284,0.31712962962962965,456.0187596551362,150.63845096745914
7,4,10,1,1657495784.6973577,12.080159905070765,440,149,453,137,427,141,170.45104824272636,-39.06511311669321,0.0,0.31712962962962965,450.6320143181286,150.43364459652673
8,4,10,1,1657495784.777146,12.854961551310382,437,149,451,137,423,141,171.22148250381207,-38.07603761937616,0.0,0.32175925925925924,449.09753439567027,150.2743507524682
9,4,10,1,1657495784.8549373,12.378530089689143,436,153,450,137,423,141,171.82875051489518,-29.867061637167648,17.066892364095796,0.3333333333333333,447.78778095610323,150.5469156772214
10,4,10,1,1657495784.9436986,13.02174479975163,435,153,448,137,423,142,172.23195818288974,-24.757352442058476,12.378676221029238,0.3402777777777778,441.53014362704397,149.86870886250193
11,4,10,1,1657495785.0364516,11.266167416973774,434,152,445,137,423,141,172.3981630034011,-10.898598927368727,-10.898598927368727,0.33796296296296297,437.79370277971174,149.56817563526414
12,4,10,1,1657495785.1192315,10.781330166515009,432,152,441,136,423,141,172.2591225946829,-17.18847900772483,-5.7294930025749435,0.3402777777777778,434.5093438294142,148.87338931849828
13,4,10,1,1657495785.198019,12.080229490443658,427,151,437,136,418,139,171.9708348325355,-31.58019604429114,-7.895049011072785,0.3425925925925926,430.0474086981001,148.33290553566977
14,4,10,1,1657495785.2758121,12.69235820479999,426,150,437,135,415,137,171.75517717692122,-27.180809921651843,-9.060269973883948,0.3402777777777778,426.40131714289635,148.05869561325966
15,4,10,1,1657495785.3536038,12.854606972980925,423,149,435,132,411,135,171.7663372340221,-39.06523439925489,-13.02174479975163,0.33564814814814814,422.1726595150611,147.28793273124603
16,4,10,1,1657495785.4323933,12.85484335636045,421,150,433,131,410,133,171.9199749159285,-32.13705914353359,0.0,0.33796296296296297,418.20794973323336,147.61179756349736
17,4,10,1,1657495785.5121787,12.692050946085388,416,150,427,131,406,133,172.07503538470448,-42.48596818746765,0.0,0.3402777777777778,415.30059790655713,147.71179756349736
18,4,10,1,1657495785.6039343,12.533629767753194,416,151,427,131,406,132,172.23059824794004,-30.56939200909581,3.0569392009095813,0.34953703703703703,410.6235575758616,147.91179756349737
19,4,10,1,1657495785.682723,10.898513970341769,415,150,425,130,406,132,172.35455508068972,-12.85468576647481,-12.85468576647481,0.35185185185185186,407.35674558952115,146.44498557715696
20,4,10,1,1657495785.7844508,12.692166166360026,413,150,424,129,403,131,172.4421609237276,-16.711328800980667,-5.570442933660222,0.35185185185185186,403.5843294698605,145.62084687060337
